retailer_name,category,product,selling_unit,quantity,per_unit_price,sales
ABC Retailer,Vegetables,"Potato, White, Kennebec - chemical free",lbs. bulk,75,0.07,5.250000000000001
ABC Retailer,Vegetables,"Summer Squash, Yellow - chemical free",case (20 lbs. bulk),2,2.293,4.586
ABC Retailer,Vegetables,"Summer Squash, Yellow - chemical free",lbs. bulk,40,0.115,4.6000000000000005
ABC Retailer,Vegetables,"Summer Squash, Zucchini - chemical free",case (20 lbs. bulk),3,2.293,6.8790000000000004
ABC Retailer,Vegetables,"Summer Squash, Zucchini - chemical free",lbs. bulk,70,0.115,8.05
ABC Retailer,Vegetables,"Summer Squash, Zucchini - conventional",case (20 lbs. bulk),1,2.2,2.2
ABC Retailer,Vegetables,"Summer Squash, Zucchini - conventional",lbs. bulk,20,0.11,2.2
ABC Retailer,Vegetables,"Tomato, Cherry/Grape  (mixed colors) - conventional",lbs. bulk,4,0.281,1.124
ABC Retailer,Vegetables,"Tomato, Hybrid, Red (seconds) - chemical free",case (25 lbs.),1,2.925,2.925
ABC Retailer,Vegetables,"Tomato, Hybrid, Red (seconds) - chemical free",lbs. bulk,25,0.117,2.9250000000000003
XYZ Retailer,Vegetables,"Tomato, Hybrid, Red (seconds) - conventional",case (25 lbs.),2,2.925,5.85
XYZ Retailer,Vegetables,"Tomato, Hybrid, Red (seconds) - conventional",lbs. bulk,50,0.117,5.8500000000000005
XYZ Retailer,Vegetables,"Tomato, Hybrid, Red - chemical free",case (25 lbs.),4,4.388,17.552
XYZ Retailer,Vegetables,"Tomato, Hybrid, Red - chemical free",lbs. bulk,100,0.176,17.599999999999998
XYZ Retailer,Vegetables,"Tomato, Hybrid, Red - conventional",case (25 lbs.),4,4.388,17.552
XYZ Retailer,Vegetables,"Tomato, Hybrid, Red - conventional",lbs. bulk,100,0.176,17.599999999999998
XYZ Retailer,Herbs,Apple Mint - chemical free,lbs. bulk,1,1.2,1.2
XYZ Retailer,Herbs,Apple Mint - chemical free,oz. bulk,16,0.075,1.2
XYZ Retailer,Herbs,Apple Mint - chemical free,4 oz. bunch,4,0.3,1.2
XYZ Retailer,Herbs,Basil - chemical free,lbs. bulk,4,1.2,4.8
XYZ Retailer,Herbs,Basil - chemical free,2 oz. bunches,32,0.15,4.8
XYZ Retailer,Herbs,Basil - chemical free,oz. bulk,64,0.075,4.8
XYZ Retailer,Herbs,Mint - chemical free,oz. bulk,32,0.075,2.4
XYZ Retailer,Herbs,Mint - chemical free,lbs. bulk,2,1.2,2.4
XYZ Retailer,Herbs,Mint - chemical free,4 oz. bunch,8,0.301,2.408
XYZ Retailer,Meat,"Beans, French Green - conventional",lbs. bulk,50,0.205,10.25
XYZ Retailer,Meat,"Beans, Green - conventional",case (24 lbs. bulk),2,5.054,10.108
XYZ Retailer,Meat,"Beans, Green - conventional",1/2 case (12 x 1 lb. bags),1,2.527,2.527
XYZ Retailer,Meat,"Beans, Green - conventional",1 lb. bags,20,0.211,4.22
XYZ Retailer,Meat,100% Grass-Fed Ground Beef,Pound,100,0.633,63.3
XYZ Retailer,Meat,100% Grass-Fed Ground Beef - 10lb,Pound,100,0.575,57.49999999999999
