Show Number, Air Date, Round, Category, Value, Question, Answer,,,
6294,1/19/2012,Jeopardy!,"A SHAKESPEARE PLAY, FOR OPENERS",$400 ,"""Othello"" opens with Roderigo addressing this villain: ""Tush, never tell me; I take it much unkindly""",Iago,,,
6294,1/19/2012,Jeopardy!,THAT'S BUSINESS,$400 ,In 1997 Tyco International moved to this U.K. territory in the Atlantic for tax purposes,Bermuda,,,
6294,1/19/2012,Jeopardy!,NURSERY RHYMES,$400 ,"""I had a little hobby-horse and it was dapple gray; its head was made of pea-straw, its tail was made of"" this",hay,,,
6294,1/19/2012,Jeopardy!,INLETS,$400 ,Big ships must pass through Admiralty Inlet to enter or leave this Washington State sound,Puget Sound,,,
6294,1/19/2012,Jeopardy!,"THE EVOLUTION OF ""M""USIC",$400 ,"1974's ""Mandy"" was his first Top 40 hit--& it reached No.1",Barry Manilow,,,
6294,1/19/2012,Jeopardy!,FOREIGN,$400 ,"In French, l'oiseau is this; it sports les plumes",a bird,,,
6294,1/19/2012,Jeopardy!,"A SHAKESPEARE PLAY, FOR OPENERS",$600 ,"The chorus of ""Romeo & Juliet"" tells us it's in this city ""where we lay our scene""",Verona,,,
6294,1/19/2012,Jeopardy!,THAT'S BUSINESS,$600 ,An Italian clothier is known as the United Colors of this,Benetton,,,
6294,1/19/2012,Jeopardy!,NURSERY RHYMES,$600 ,"In a counting nursery rhyme, they were ""a-courting"", ""in the kitchen"" & ""a-waiting""",maids,,,
6294,1/19/2012,Jeopardy!,INLETS,"$1,000 ",Faxa Bay in the North Atlantic is between this country's Snaefells & Reykjanes peninsulas,Iceland,,,
6294,1/19/2012,Jeopardy!,"THE EVOLUTION OF ""M""USIC",$600 ,"This singer of ""Jack & Diane"" had to fight to record under his own name",John Mellencamp,,,
6294,1/19/2012,Jeopardy!,FOREIGN,$600 ,"If Popeye spoke Hebrew he'd ask for tered, this",spinach,,,
6294,1/19/2012,Jeopardy!,"A SHAKESPEARE PLAY, FOR OPENERS",$800 ,"Completes the opening sentence ""Now is the winter of our discontent made glorious summer by this sun of...""",York,,,
6294,1/19/2012,Jeopardy!,THAT'S BUSINESS,$800 ,In 1851 this company started using a logo with a man in the moon & 13 stars; now it uses its initials,Proctor & Gamble,,,
6294,1/19/2012,Jeopardy!,NURSERY RHYMES,$800 ,"While ""January brings the snow"", ""may brings flocks of pretty"" these, ""skipping by their fleecy dams""",lambs,,,
6294,1/19/2012,Jeopardy!,INLETS,$800 ,"This Chilean city whose name means ""valley of paradise"" lies on a wide inlet of the Pacific",Valparaiso,,,
6294,1/19/2012,Jeopardy!,"THE EVOLUTION OF ""M""USIC",$800 ,"In the '90s it was ""Enter Sandman"" with this group",Metallica,,,
6294,1/19/2012,Jeopardy!,FOREIGN,$800 ,Tredici is Italian for this symbol of bad luck,thirteen,,,
6294,1/19/2012,Jeopardy!,"A SHAKESPEARE PLAY, FOR OPENERS","$1,000 ","This play opens most dramatically with thunder & lightning. A ship is seen. Then a cry of ""bos'n!""",The Tempest,,,
6294,1/19/2012,Jeopardy!,THAT'S BUSINESS,"$1,000 ",In 1927 this brand name first appeared on a Sears washing machine,Kenmore,,,
6294,1/19/2012,Jeopardy!,NURSERY RHYMES,"$1,000 ","""Here we go round"" this bush ""on a cold and frosty morning""",the mulberry bush,,,
6294,1/19/2012,Jeopardy!,INLETS,"$1,000 ",North Carolina's Albemarle Sound is no deeper than 25 feet & is protected from the Atlantic by this island chain,the Outer Banks,,,
6294,1/19/2012,Jeopardy!,"THE EVOLUTION OF ""M""USIC","$1,000 ","In the 2000s ""Makes Me Wonder"" got this group noticed",Maroon 5,,,
6294,1/19/2012,Jeopardy!,FOREIGN,"$1,000 ","In German, berg is this topographical feature on a map",a mountain,,,
6294,1/19/2012,Double Jeopardy!,AMERICAN HISTORY,$400 ,In December 1974 this former New York governor was sworn in as Vice President,Rockefeller,,,
6294,1/19/2012,Double Jeopardy!,WHAT'S YOUR BEEF?,$400 ,"If you can't stand the heat, there's always this raw dish that includes onions, capers, egg yolks & beef tenderloin",steak tartare,,,
6294,1/19/2012,Double Jeopardy!,WEAPONS OF WORLD WAR II,$400 ,The British A22 Mark IV tank carried a 75-millimeter gun & this prime minister's name,Churchill,,,
6294,1/19/2012,Double Jeopardy!,THE LIVING PLANET,$400 ,"Able to lift 850 times its own weight, the strongest animal is the rhinoceros type of this insect",beetle,,,
6294,1/19/2012,Double Jeopardy!,ACTING PRESIDENTS ON TV,$400 ,Blair Underwood as President Elias Martinez,The Event,,,
6294,1/19/2012,Double Jeopardy!,4 N,$400 ,"Number of ""beers on the wall"" at the beginning of the song",ninety-nine,,,
6294,1/19/2012,Double Jeopardy!,AMERICAN HISTORY,$800 ,"In 1951 he told a joint session of congress that he ""tried to do his duty as god gave him the light to see that duty""",(Douglas) McArthur,,,
6294,1/19/2012,Double Jeopardy!,WHAT'S YOUR BEEF?,$800 ,A New England boiled dinner is traditionally made with this cured deli meat,corned beef,,,
6294,1/19/2012,Double Jeopardy!,WEAPONS OF WORLD WAR II,$800 ,"Ships in the U.S. Navy's Casablanca class of ""escort"" these were smaller than their big cousins like the Lexington",aircraft carriers,,,
6294,1/19/2012,Double Jeopardy!,ACTING PRESIDENTS ON TV,$800 ,"Dennis Haysbert & D.B. Woodside as David & Wayne Palmer, respectively",24,,,
6294,1/19/2012,Double Jeopardy!,4 N,$800 ,"""U"" know it means not deliberate; I'm sorry, that slip of the tongue was completely this",unintentional,,,
6294,1/19/2012,Double Jeopardy!,AMERICAN HISTORY,"$1,800 ",This political party founded around 1789 stood for a strong central government,the Federalists,,,
6294,1/19/2012,Double Jeopardy!,WHAT'S YOUR BEEF?,"$1,200 ",A New York steak is also known as this alliterative steak,strip steak,,,
6294,1/19/2012,Double Jeopardy!,WEAPONS OF WORLD WAR II,"$1,200 ","Today, this Japanese car company makes the galant; in WWII, it was better known for its A6M ""Zero"" fighter",Mitsubishi,,,
6294,1/19/2012,Double Jeopardy!,THE LIVING PLANET,"$1,200 ","Relative to the size of the bird, this flightless New Zealand denizen has the largest egg",the kiwi,,,
6294,1/19/2012,Double Jeopardy!,ACTING PRESIDENTS ON TV,"$1,200 ",Fred Armisen as Barack Obama,Saturday Night Live,,,
6294,1/19/2012,Double Jeopardy!,4 N,"$2,400 ",It's the church festival on March 25 commemorating what Gabriel told Mary,the annunciation,,,
6294,1/19/2012,Double Jeopardy!,AMERICAN HISTORY,"$1,600 ",His foes said that in 1877 he agreed to withdraw remaining federal troops from the south in return for electoral support,(Rutherford B.) Hayes,,,
6294,1/19/2012,Double Jeopardy!,WHAT'S YOUR BEEF?,"$1,600 ","The second word in the French name of this boneless steak means ""dainty""",filet mignon,,,
6294,1/19/2012,Double Jeopardy!,WEAPONS OF WORLD WAR II,"$1,600 ",It was the alphanumeric designation of the U.S. Army's Garand rifle,the M1,,,
6294,1/19/2012,Double Jeopardy!,THE LIVING PLANET,"$1,600 ","(<a href=""http://www.j-archive.com/media/2012-01-19_DJ_27.jpg"" target=""_blank"">Sarah of the Clue Crew shows a bunch of jar-preserved specimens.</a>)  Butterflies, centipedes, scorpions, spiders, crabs, lobsters--these & millions of other creepy crawlers belong to this phylum that makes up more than 80% of all animal species, from the Greek for ""joint foot""",arthropod,,,
6294,1/19/2012,Double Jeopardy!,ACTING PRESIDENTS ON TV,"$1,600 ","On Fox, Patricia Wettig as Caroline Reynolds",Prison Break,,,
6294,1/19/2012,Double Jeopardy!,4 N,"$1,600 ",Adjective preceding the railroad completed in 1869,transcontinental,,,
6294,1/19/2012,Double Jeopardy!,AMERICAN HISTORY,"$2,000 ","In 1917 the U.S. purchased the islands of St. Croix, St. John & St. Thomas from this country for $25 million",Denmark,,,
6294,1/19/2012,Double Jeopardy!,WHAT'S YOUR BEEF?,"$2,000 ","To make this dish, beef is topped with pate de foie gras & a mushroom paste before it's wrapped in pastry & cooked",beef Wellington,,,
6294,1/19/2012,Double Jeopardy!,WEAPONS OF WORLD WAR II,"$2,000 ","""Hefty"" nickname of the second & last atomic bomb used during the war",Fat Man,,,
6294,1/19/2012,Double Jeopardy!,THE LIVING PLANET,"$2,000 ","The April 2009 issue of Science magazine reported that cows were the first livestock animal to have this ""mapped""",their genome,,,
6294,1/19/2012,Double Jeopardy!,ACTING PRESIDENTS ON TV,"$2,000 ",Mary McDonnell as Laura Roslin,Battlestar Galactica,,,
6294,1/19/2012,Double Jeopardy!,4 N,"$2,000 ","Inopportune or untimely, like the title ""woman"" in a Dominick Dunne novel",inconvenient,,,
6294,1/19/2012,Final Jeopardy!,SPORTS & THE MOVIES,None,"When asked for a home address in ""The Blues Bros."" Elwood gives 1060 W. Addison St., the home of this facility",Wrigley Field,,,
6125,4/8/2011,Jeopardy!,IT BORDERS JUST ONE OTHER COUNTRY,$200 ,Canada,the United States,,,
6125,4/8/2011,Jeopardy!,21st CENTURY MUSIC,$200 ,The nickname of this woman from the Black Eyed Peas is just a shortening of her last name,Fergie,,,
6125,4/8/2011,Jeopardy!,BABY NAMES A LA SHAKESPEARE,$200 ,"Knowing it's from the Greek for ""serpent"" might turn you off this name of a doomed lass in ""Hamlet""",Ophelia,,,
6125,4/8/2011,Jeopardy!,"YES, THAT'S ""WHITE""",$200 ,Turbulent rapids,whitewater,,,
6125,4/8/2011,Jeopardy!,WHEN THE SAINTS,$200 ,Santa Rosa de Lima is honored with festivals each August 30 in this country where she's patron saint,Peru,,,
6125,4/8/2011,Jeopardy!,"COME, HO CHI MINH",$200 ,Ho Chi Minh is buried in this capital city,Hanoi,,,
6125,4/8/2011,Jeopardy!,IT BORDERS JUST ONE OTHER COUNTRY,$400 ,South Korea,North Korea,,,
6125,4/8/2011,Jeopardy!,21st CENTURY MUSIC,$400 ,"The stage name of this R&B singer born Shaffer Smith is a play on the name of a character in ""The Matrix""",Ne-Yo,,,
6125,4/8/2011,Jeopardy!,BABY NAMES A LA SHAKESPEARE,$400 ,"Name a girl this after the ""Merchant of Venice"" heroine & she'll probably grow up to like fast sports cars",Portia,,,
6125,4/8/2011,Jeopardy!,"YES, THAT'S ""WHITE""",$400 ,Milk with butter & flour added used as a base in cooking,a white sauce,,,
6125,4/8/2011,Jeopardy!,WHEN THE SAINTS,$400 ,"The site of this city, now the seat of Saint Johns County, Florida, was visited by Ponce de Leon in 1513",St. Augustine,,,
6125,4/8/2011,Jeopardy!,"COME, HO CHI MINH",$400 ,Ho Chi Minh helped start Vietnam's Communist Party & in the 1920s helped start this Eur. country's Communist Party,France,,,
6125,4/8/2011,Jeopardy!,IT BORDERS JUST ONE OTHER COUNTRY,"$1,000 ",Denmark,Germany,,,
6125,4/8/2011,Jeopardy!,21st CENTURY MUSIC,$600 ,"""Ordinary People"" singer John Stephens took on this last name, the stuff that myths are made of",Legend,,,
6125,4/8/2011,Jeopardy!,BABY NAMES A LA SHAKESPEARE,$600 ,"If you give your son this villainous 4-letter name from ""Othello"", you're just asking for trouble",Iago,,,
6125,4/8/2011,Jeopardy!,"YES, THAT'S ""WHITE""",$600 ,Condition of heavy snow or fog during daylight in which visibility is lost,a whiteout,,,
6125,4/8/2011,Jeopardy!,WHEN THE SAINTS,$600 ,You're a Slav to the study of language if you know that this alphabet bears the name of a 9th c. saint,Cyrillic,,,
6125,4/8/2011,Jeopardy!,"COME, HO CHI MINH",$600 ,The trail bearing Ho's name was a series of Viet Cong supply routes mostly through this neighboring nation,Laos,,,
6125,4/8/2011,Jeopardy!,IT BORDERS JUST ONE OTHER COUNTRY,$800 ,San Marino,Italy,,,
6125,4/8/2011,Jeopardy!,21st CENTURY MUSIC,$800 ,"""Icky Thump"" was a No. 1 modern rock hit for this duo",the White Stripes,,,
6125,4/8/2011,Jeopardy!,BABY NAMES A LA SHAKESPEARE,$800 ,I'd think twice about naming your daughter this; she might turn into a shrew like in the play,Katherine,,,
6125,4/8/2011,Jeopardy!,"YES, THAT'S ""WHITE""",$800 ,"A chess piece, or a company involved in a friendly takeover of another",a white knight,,,
6125,4/8/2011,Jeopardy!,WHEN THE SAINTS,$800 ,"It's the secret identity of the British detective known as ""The Saint""",Simon Templar,,,
6125,4/8/2011,Jeopardy!,"COME, HO CHI MINH",$800 ,"Ho Chi Minh was also known by the nickname Bac Ho, meaning this relative",uncle,,,
6125,4/8/2011,Jeopardy!,IT BORDERS JUST ONE OTHER COUNTRY,"$1,000 ",Brunei,Malaysia,,,
6125,4/8/2011,Jeopardy!,21st CENTURY MUSIC,"$1,000 ",Brothers Chad & Mike Kroeger make up half of this rock band,Nickelback,,,
6125,4/8/2011,Jeopardy!,BABY NAMES A LA SHAKESPEARE,"$1,000 ","For an eighth child, preferably a daughter, this name from ""Antony and Cleopatra"" would be fitting",Octavia,,,
6125,4/8/2011,Jeopardy!,"YES, THAT'S ""WHITE""","$1,000 ",Down a shot & name this 1973 Burt Reynolds movie,White Lightning,,,
6125,4/8/2011,Jeopardy!,WHEN THE SAINTS,"$1,000 ",This Afro-Cuban belief system uses Catholic saints as representations of the spirit world,Santería,,,
6125,4/8/2011,Jeopardy!,"COME, HO CHI MINH","$1,000 ","Ho Chi Minh's real family name wasn't Ho, it was this, like many other Vietnamese",Nguyen,,,
6125,4/8/2011,Double Jeopardy!,BALLETS WE'VE NEVER ASKED ABOUT BEFORE,$400 ,"In Jerome Robbins' ""Celebration"", couples representing 5 countries dance this, ""step for 2"" in French",pas de deux,,,
6125,4/8/2011,Double Jeopardy!,BEST MOVIE QUOTES EVER!,$400 ,"1967: ""We rob banks""",Bonnie and Clyde,,,
6125,4/8/2011,Double Jeopardy!,6 CHARACTERS IN SEARCH OF AN AUTHOR,$400 ,D'Artagnan,Dumas,,,
6125,4/8/2011,Double Jeopardy!,SYRIA'S EATING,$400 ,"Syria had to wait until 2006 for an American fast food franchise, this fowl-selling one",KFC,,,
6125,4/8/2011,Double Jeopardy!,UP IN THE AIR,$400 ,"It decreases for the first 6 miles of the atmosphere, then goes way up, way down & finally up again around 55 miles high",the temperature,,,
6125,4/8/2011,Double Jeopardy!,ABBREV.,$400 ,"A recent, frightening addition to our world language: WMD",weapons of mass destruction,,,
6125,4/8/2011,Double Jeopardy!,BALLETS WE'VE NEVER ASKED ABOUT BEFORE,$800 ,"""Fete Noire"" was first presented in 1971 by the fledgling dance theatre of this Manhattan area",Harlem,,,
6125,4/8/2011,Double Jeopardy!,BEST MOVIE QUOTES EVER!,$800 ,"1975: ""She turned me into a newt!""",Monty Python and the Holy Grail,,,
6125,4/8/2011,Double Jeopardy!,6 CHARACTERS IN SEARCH OF AN AUTHOR,$800 ,"Harry Angstrom, aka ""Rabbit""",(John) Updike,,,
6125,4/8/2011,Double Jeopardy!,SYRIA'S EATING,$800 ,Mansaf is this favorite meat cooked in a yogurt sauce,lamb,,,
6125,4/8/2011,Double Jeopardy!,UP IN THE AIR,$800 ,Warm air flows deflected by the Earth's rotation create winds that were named this by business-minded mariners,trade winds,,,
6125,4/8/2011,Double Jeopardy!,ABBREV.,$800 ,"Since 1871, they've aimed to please: NRA",the National Rifle Association,,,
6125,4/8/2011,Double Jeopardy!,BALLETS WE'VE NEVER ASKED ABOUT BEFORE,"$1,200 ","In ""Harlequinade"" the hero tries to rescue Columbine with the help of the magical ""La Bonne Fee"", this in English",the good fairy,,,
6125,4/8/2011,Double Jeopardy!,BEST MOVIE QUOTES EVER!,"$1,200 ","1999: ""Get in my belly!"" (Second in a series)",Austin Powers: The Spy Who Shagged Me,,,
6125,4/8/2011,Double Jeopardy!,6 CHARACTERS IN SEARCH OF AN AUTHOR,"$1,200 ",Esmeralda & Claude Frollo,(Victor) Hugo,,,
6125,4/8/2011,Double Jeopardy!,SYRIA'S EATING,"$1,200 ","Sultan Ibrahim is a Mideastern name for red mullet, a type of this creature",fish,,,
6125,4/8/2011,Double Jeopardy!,UP IN THE AIR,"$1,200 ","At under 6,000 feet, this 7-letter layered type of cloud is one of the lowest",stratus,,,
6125,4/8/2011,Double Jeopardy!,ABBREV.,"$1,200 ",Printer particular: DPI,dots per inch,,,
6125,4/8/2011,Double Jeopardy!,BALLETS WE'VE NEVER ASKED ABOUT BEFORE,"$1,600 ","The ballet ""Bhakti"" features 3 Hindu gods including this ""destroyer"", whose wife, Shakti, dances for him",Shiva,,,
6125,4/8/2011,Double Jeopardy!,BEST MOVIE QUOTES EVER!,"$1,600 ","1999: ""Excuse me, I believe you have my stapler""",Office Space,,,
